number,title,author,topic,lead_time_hours,churn,changed_files,merged,personality
120,Develop,Vanish,Other,,705761,2442,True,巨型迁移
254,feat: 实现 FMOD 音频系统 (VgAudioManager),Vanish,Audio,,499119,2493,True,巨型迁移
221,"Revert ""1 (#221)""",Vanish,Other,,345521,47,True,巨型迁移
340,Make Urp Embeded and add new overlap operation mode: Use Max,Vanish,Other,,315182,2739,True,巨型迁移
217,update,OriSYX,Other,,304435,220,True,巨型迁移
74,[MILESTONE] 终于可以开始开发了,Vanish,Other,,275719,3340,True,巨型迁移
250,咋这么多更改吓哭了,likoko,Other,,192327,1924,True,巨型迁移
40,feat: import ase,消失,Other,,190264,1905,True,巨型迁移
351,Stats,Vanish,Docs/Stats,,133754,44,True,巨型迁移
173,171 room manager,Vanish,Other,,95161,964,True,巨型迁移
342,5.20 project,OriSYX,Other,,90766,50,True,常规推进
309,4.29 project,OriSYX,Other,,67732,265,True,常规推进
5,Vanish/feature import odin,消失,Other,,49615,129,True,常规推进
57,Develop [ADD BUILD][ADD DEPLOY],Vanish,Build/CI,,45515,464,True,常规推进
93,Develop,Vanish,Other,,37422,925,True,巨型迁移
284,4.17 project,OriSYX,Other,,32725,732,True,巨型迁移
285,贪吃蛇,Vanish,Other,,30100,739,True,巨型迁移
213,Oris/3.24 project,OriSYX,Other,,26943,63,True,常规推进
53,Upgrade CodeUnfucker [SKIP CI],Vanish,Build/CI,,23082,197,True,常规推进
314,Oris Update,Vanish,Other,,20342,79,True,常规推进
311,Likoko/5.6,likoko,Other,,18713,43,True,常规推进
45,Automation Pipeline,消失,Build/CI,,17305,200,True,常规推进
251,Refactor Save System and Enhance LDtk Integration,Vanish,Refactor,,16553,89,True,常规推进
138,Oris/3.4 project,OriSYX,Other,,16368,554,True,巨型迁移
345,111,likoko,Other,,15029,6,True,常规推进
263,feat: transition to RainRust project & refactor CI/CD/Core systems,Vanish,Refactor,,10755,171,True,常规推进
290,4.26 new start,OriSYX,Assets/Art,,10138,100,True,常规推进
320,333,OriSYX,Other,,9914,31,True,常规推进
54,Add In Game Console [SKIP CI],Vanish,Build/CI,,9406,85,True,常规推进
209,butify,Vanish,Other,,9227,98,True,常规推进
198,197 camera,Vanish,Rendering,,8257,124,True,常规推进
315,加了一些植物,likoko,Other,,7797,15,True,常规推进
229,"Revert ""final after lfs installed (#229)""",Vanish,Other,,7313,11,True,常规推进
225,"Revert ""update scene (#225)""",Vanish,Level/LDtk,,7313,11,True,常规推进
227,"Revert ""update ldtk (#227)""",Vanish,Level/LDtk,,7130,1,True,常规推进
118,Render Pipeline,Vanish,Rendering,,6926,166,True,常规推进
294,4.26 project,OriSYX,Other,,5362,22,True,常规推进
195,Oris/3.22 project [SKIP CICD],OriSYX,Build/CI,,5264,13,True,常规推进
131,Oris/new movement1,Vanish,Gameplay,,3779,89,True,常规推进
186,ruletile不显示的问题反馈,OriSYX,Level/LDtk,,2774,10,True,常规推进
9,Develop,消失,Other,,2724,76,True,常规推进
305,feat & refactor: 实现声纳阻挡系统、重构 Loading Splash 体系及优化玩家能力逻辑,Vanish,Refactor,,2106,84,True,常规推进
316,Vanish/fuck unity,Vanish,Other,,1943,89,True,常规推进
266,feat: WebGL 构建 + GitHub Pages 部署 + CI/CD 修复 (#266),Vanish,Build/CI,,1775,13,True,常规推进
185,174 background,Vanish,Other,,1738,34,True,常规推进
344,1,OriSYX,Other,,1554,12,True,常规推进
328,Super Text,Vanish,Other,,1539,48,True,常规推进
348,Vanish/menu UI,Vanish,UI,,1367,22,True,常规推进
1,Add ConsolePro plugin and remove tutorial assets,消失,Assets/Art,,1349,24,True,常规推进
215,Vanihs/lighting,Vanish,Rendering,,1075,32,True,常规推进
55,Update and refactor CodeUnfucker Bridge,Vanish,Refactor,,992,7,True,常规推进
312,Likoko/5.6,likoko,Other,,897,16,True,常规推进
18,Develop,消失,Other,,780,27,True,常规推进
201,update[SKIP CICD],Vanish,Build/CI,,775,5,True,常规推进
199,"Revert ""update (#199)""",Vanish,Other,,770,3,True,常规推进
331,RainRust 光照: 修复 alpha 语义不一致 + Debug 可视化,Vanish,Bug/Fix,,670,16,True,常规推进
239,237 hybird lighting solution,Vanish,Rendering,,663,17,True,常规推进
